BH,Site_name,Study_midyear,YearsOfData,Latitude,Longitude,Elevation,Manipulation,Manipulation_level,Biome,Ecosystem_type,Ecosystem_state,Leaf_habit,MAT,MAP,RS,RS_component,SPEI_min
152,Saihanba National Forest Park,2011,3,42.412,117.2474,1505,Plantation,Larix principis-rupprechtii plantation,Boreal,Forest,Managed,Mixed,-1.4,450,316,Rh,-1.830018882
153,Shi Kang township,2013,1,21.744,104.314,45,Plantation,Eucalyptus robusta plantation,Subtropical,Forest,Managed,Evergreen,20,1670,746.46,Rh,-1.324191629
154,Guanzhuang National Forestry Farm,2010,1,26.5,117.72,,Fertilized,CK,Subtropical,Forest,Managed,Evergreen,19.2,1628,715.61,Rh,-1.234493898
155,Guanzhuang National Forestry Farm,2010,1,26.5,117.72,,Fertilized,Nitrogen addition 6 kg/ha year,Subtropical,Forest,Managed,Evergreen,19.2,1628,645.15,Rh,-1.234493898
156,Guanzhuang National Forestry Farm,2010,1,26.5,117.72,,Fertilized,Nitrogen addition 12 kg/ha year,Subtropical,Forest,Managed,Evergreen,19.2,1628,574.76,Rh,-1.234493898
157,Guanzhuang National Forestry Farm,2010,1,26.5,117.72,,Fertilized,Nitrogen addition 24 kg/ha year,Subtropical,Forest,Managed,Evergreen,19.2,1628,532.79,Rh,-1.234493898
158,Hilly Ecology Experimentation Station,2013,1,37.88,114.22,350,None,None,Temperate,Forest,Natural,Deciduous,13.2,570,389.78,Rh,-1.866139478
159,Hilly Ecology Experimentation Station,2013,1,37.88,114.22,350,None,None,Temperate,Forest,Natural,Deciduous,13.2,570,280.04,Rh,-1.866139478
160,Wolong Nature Reserve,2011,1,30.883,102.966,2700,Plantation,Q. aquifolioides plantation,,Forest,Managed,Deciduous,8.4,861.8,605.5,Rh,-1.612793218
161,Wolong Nature Reserve,2011,1,30.883,102.966,2700,Plantation,Q. aquifolioides plantation,,Forest,Managed,Deciduous,8.4,861.8,427.63,Rh,-1.612793218
162,National Forest Reserve ,2009,1,21.933,101.25,,None,None,Tropical,Forest,Natural,Evergreen,21.5,1557,805,Rh,-2.054972378
163,National Forest Reserve ,2010,1,21.933,101.25,,None,None,Tropical,Forest,Natural,Evergreen,21.5,1557,736,Rh,-1.96252664
164,National Forest Reserve ,2011,1,21.933,101.25,,None,None,Tropical,Forest,Natural,Evergreen,21.5,1557,647,Rh,-1.721899814
165,Saihanba Forestry Center,2011,1,42.5,117.35,1400,Fertilized,CK,Temperate,Forest,Managed,Evergreen,-1.4,450.1,123.08,Rh,-1.85222379
166,Saihanba Forestry Center,2011,1,42.5,117.35,1400,Fertilized,CK,Temperate,Forest,Managed,Evergreen,-1.4,450.1,163.13,Rh,-1.85222379
167,Saihanba Forestry Center,2011,1,42.5,117.35,1400,Fertilized,5 g N m-2 yr2,Temperate,Forest,Managed,Evergreen,-1.4,450.1,161.55,Rh,-1.85222379
168,Saihanba Forestry Center,2011,1,42.5,117.35,1400,Fertilized,5 g N m-2 yr2,Temperate,Forest,Managed,Evergreen,-1.4,450.1,275,Rh,-1.85222379
